Product_category,total_revenue
REGENCY CAKESTAND 3 TIER,132567.7
WHITE HANGING HEART T-LIGHT HOLDER,93767.8
JUMBO BAG RED RETROSPOT,83056.52
PARTY BUNTING,67628.43
POSTAGE,66710.24
ASSORTED COLOUR BIRD ORNAMENT,56331.91
RABBIT NIGHT LIGHT,51042.84
CHILLI LIGHTS,45915.41
PAPER CHAIN KIT 50'S CHRISTMAS,41423.78
PICNIC BASKET WICKER 60 PIECES,39619.5
BLACK RECORD COVER FRAME,38990.63
JUMBO BAG PINK POLKADOT,36437.78
SPOTTY BUNTING,35026.74
DOORMAT KEEP CALM AND COME IN,34279.6
WOOD BLACK BOARD ANT WHITE FINISH,34243.76
SET OF 3 CAKE TINS PANTRY DESIGN,32573.15
JAM MAKING SET WITH JARS,31611.72
JUMBO BAG STRAWBERRY,30120.83
HEART OF WICKER LARGE,28290.15
VICTORIAN GLASS HANGING T-LIGHT,28111.71
HEART OF WICKER SMALL,28009.14
LUNCH BAG RED RETROSPOT,27050.4
SET OF 3 REGENCY CAKE TINS,26144.78
ALARM CLOCK BAKELIKE RED,25602.7
JUMBO BAG APPLES,25117.05
DOORMAT RED RETROSPOT,24903.63
PAPER CHAIN KIT VINTAGE CHRISTMAS,24708.32
SPACEBOY LUNCH BOX,24580.44
HOT WATER BOTTLE KEEP CALM,24084.15
NATURAL SLATE HEART CHALKBOARD,23936.57
PLEASE ONE PERSON METAL SIGN,23696.12
ROSES REGENCY TEACUP AND SAUCER,23682.8
RED  HARMONICA IN BOX,23677.68
DOORMAT UNION FLAG,23525.04
CHOCOLATE HOT WATER BOTTLE,23239.76
JUMBO  BAG BAROQUE BLACK WHITE,23119.7
POPCORN HOLDER,23088.1
JUMBO BAG ALPHABET,23084.42
DOORMAT NEW ENGLAND,22752
CREAM HEART CARD HOLDER,22656.32
BAKING SET 9 PIECE RETROSPOT,22642
VINTAGE UNION JACK MEMOBOARD,22639.48
REGENCY TEAPOT ROSES,22597.12
RED HANGING HEART T-LIGHT HOLDER,22442.24
ROUND SNACK BOXES SET OF4 WOODLAND,21983.77
SET OF TEA COFFEE SUGAR TINS PANTRY,21573.43
JUMBO STORAGE BAG SUKI,21182.51
GIN + TONIC DIET METAL SIGN,21169.55
JAM MAKING SET PRINTED,20721.8
ALARM CLOCK BAKELIKE GREEN,20719.15
VINTAGE UNION JACK BUNTING,20707.16
JUMBO BAG VINTAGE LEAF,20479.09
RECIPE BOX PANTRY YELLOW DESIGN,20417.57
EDWARDIAN PARASOL NATURAL,20406.86
SET OF 6 SPICE TINS PANTRY DESIGN,20364.6
RETROSPOT TEA SET CERAMIC 11 PC,20230.93
COOK WITH WINE METAL SIGN,20071.03
CREAM SWEETHEART MINI CHEST,20000.12
DOORMAT HEARTS,19900.81
DOLLY GIRL LUNCH BOX,19642.99
JUMBO BAG VINTAGE DOILY,19610.76
RED TOADSTOOL LED NIGHT LIGHT,19570.21
JUMBO SHOPPER VINTAGE RED PAISLEY,19517.31
SCOTTIE DOG HOT WATER BOTTLE,19505.45
WOODEN PICTURE FRAME WHITE FINISH,19363.9
DOORMAT FANCY FONT HOME SWEET HOME,19109.02
LUNCH BOX I LOVE LONDON,18770.17
JUMBO BAG OWLS,18615.59
PAPER BUNTING RETROSPOT,18589.59
ALARM CLOCK BAKELIKE PINK,18385.34
LUNCH BAG APPLE DESIGN,18125
JUMBO BAG PINK VINTAGE PAISLEY,18040.83
LUNCH BAG  BLACK SKULL.,17764.6
GREEN REGENCY TEACUP AND SAUCER,17342.49
HOMEMADE JAM SCENTED CANDLES,17318.4
ROTATING SILVER ANGELS T-LIGHT HLDR,17255.62
GUMBALL COAT RACK,17153.6
JUMBO BAG 50'S CHRISTMAS,17149.08
GROW A FLYTRAP OR SUNFLOWER IN TIN,17136.2
LUNCH BAG CARS BLUE,16887.03
WOODEN FRAME ANTIQUE WHITE,16795.22
JUMBO BAG DOILEY PATTERNS,16691.34
DOORMAT FAIRY CAKE,16616.89
SET/5 RED RETROSPOT LID GLASS BOWLS,16236.28
PACK OF 72 RETROSPOT CAKE CASES,16235.3
LUNCH BAG PINK POLKADOT,16067.1
MINI PAINT SET VINTAGE,15911.84
ROUND SNACK BOXES SET OF 4 FRUITS,15883.99
HAND WARMER OWL DESIGN,15855.68
RETROSPOT HEART HOT WATER BOTTLE,15728.18
LUNCH BAG SPACEBOY DESIGN,15577.8
ASSORTED COLOURS SILK FAN,15538.76
RED RETROSPOT CAKE STAND,15449.25
HOME BUILDING BLOCK WORD,15439.46
HAND OVER THE CHOCOLATE   SIGN,15349.29
HOT WATER BOTTLE TEA AND SYMPATHY,15255.97
LUNCH BAG SUKI DESIGN,15132
JUMBO BAG SPACEBOY DESIGN,15105.61
JUMBO BAG WOODLAND ANIMALS,15085.14
6 RIBBONS RUSTIC CHARM,14913.74
ANTIQUE SILVER T-LIGHT GLASS,14827.21
EDWARDIAN PARASOL BLACK,14566.17
IVORY KITCHEN SCALES,14501.03
LUNCH BAG WOODLAND,14362.61
PINK REGENCY TEACUP AND SAUCER,14275.79
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14147.15
SET OF 4 PANTRY JELLY MOULDS,14066.42
CHILDRENS CUTLERY POLKADOT PINK,13773.3
SMALL POPCORN HOLDER,13752.23
DOORMAT ENGLISH ROSE,13399.4
WOOD 2 DRAWER CABINET WHITE FINISH,13347.87
COLOUR GLASS. STAR T-LIGHT HOLDER,13320.18
WORLD WAR 2 GLIDERS ASSTD DESIGNS,13304.49
PAPER CHAIN KIT EMPIRE,13290.6
RED WOOLLY HOTTIE WHITE HEART.,13234.81
LOVE HOT WATER BOTTLE,12901.2
VINTAGE CHRISTMAS BUNTING,12895.77
BOX OF VINTAGE ALPHABET BLOCKS,12884.31
JUMBO BAG PEARS,12791.29
SET OF 10 LED DOLLY LIGHTS,12655.13
HOT BATHS METAL SIGN,12597.88
CLOTHES PEGS RETROSPOT PACK 24,12458.63
HANGING HEART JAR T-LIGHT HOLDER,12444.38
BREAD BIN DINER STYLE IVORY,12435.04
MEMO BOARD RETROSPOT  DESIGN,12377.07
GARDENERS KNEELING PAD KEEP CALM,12294.88
BLACK HEART CARD HOLDER,12254
HOT WATER BOTTLE I AM SO POORLY,12209.43
RED RETROSPOT MINI CASES,12161.15
PLASTERS IN TIN SPACEBOY,12090.75
GREY HEART HOT WATER BOTTLE,12044.65
ASSORTED COLOUR MINI CASES,12043.91
HAND WARMER SCOTTY DOG DESIGN,12020.76
DOORMAT SPOTTY HOME SWEET HOME,12006.42
HAND WARMER BIRD DESIGN,11953.33
DOTCOM POSTAGE,11906.36
PAPER CHAIN KIT RETROSPOT,11796.66
RECYCLING BAG RETROSPOT,11790.38
SET/4 WHITE RETRO STORAGE CUBES,11758.9
CHRISTMAS LIGHTS 10 REINDEER,11703.75
SET 7 BABUSHKA NESTING BOXES,11687.79
RED KITCHEN SCALES,11638.18
PLASTERS IN TIN WOODLAND ANIMALS,11573.08
PACK OF 60 PINK PAISLEY CAKE CASES,11555.45
PINK HAPPY BIRTHDAY BUNTING,11542.25
DOUGHNUT LIP GLOSS,11540.7
WOODEN ROUNDERS GARDEN SET,11524.44
DOORMAT WELCOME PUPPIES,11496.2
LOVE BUILDING BLOCK WORD,11374.91
LUNCH BAG ALPHABET DESIGN,11334.81
3 HOOK PHOTO SHELF ANTIQUE WHITE,11300.73
REGENCY SUGAR BOWL GREEN,11222.04
FELTCRAFT CUSHION OWL,11216.14
ENAMEL FLOWER JUG CREAM,11183.18
WOOD S/3 CABINET ANT WHITE FINISH,11093.45
JUMBO STORAGE BAG SKULLS,10859.59
RED DINER WALL CLOCK,10855.94
FAIRY CAKE FLANNEL ASSORTED COLOUR,10700.15
METAL SIGN TAKE IT OR LEAVE IT,10585.35
STRAWBERRY CERAMIC TRINKET BOX,10468.52
FELTCRAFT 6 FLOWER FRIENDS,10391.29
VINTAGE SNAP CARDS,10369.22
LUNCH BAG DOILEY PATTERN,10316.45
LUNCH BAG DOLLY GIRL DESIGN,10304.59
LUNCH BAG VINTAGE DOILY,10288.46
PINK BLUE FELT CRAFT TRINKET BOX,10214.38
RED RETROSPOT PICNIC BAG,10208.66
RED RETROSPOT UMBRELLA,10205.82
ALARM CLOCK BAKELIKE IVORY,10105.61
BAKING SET SPACEBOY DESIGN,10068.74
PAPER BUNTING WHITE LACE,10019.6
BLUE HAPPY BIRTHDAY BUNTING,9981.82
RED RETROSPOT CHARLOTTE BAG,9952.14
TRADITIONAL WOODEN SKIPPING ROPE,9942.75
SOLDIERS EGG CUP,9937.44
PICNIC BASKET WICKER LARGE,9925.8
WOODEN UNION JACK BUNTING,9905.03
CLASSIC METAL BIRDCAGE PLANT HOLDER,9875.96
LUNCH BAG VINTAGE LEAF DESIGN,9840.5
FELTCRAFT CUSHION RABBIT,9839.96
CHILDRENS CUTLERY POLKADOT BLUE,9804.35
DOORMAT BLACK FLOCK,9764.75
GARDENERS KNEELING PAD CUP OF TEA,9702.09
SET/20 RED RETROSPOT PAPER NAPKINS,9635.54
ICE CREAM SUNDAE LIP GLOSS,9603.16
CHILDRENS CUTLERY RETROSPOT RED,9581.18
WHITE SKULL HOT WATER BOTTLE,9579.54
DOORMAT HOME SWEET HOME BLUE,9571.69
LONDON BUS COFFEE MUG,9548.55
COLOUR GLASS T-LIGHT HOLDER HANGING,9524.26
NO SINGING METAL SIGN,9498.2
PLASTERS IN TIN CIRCUS PARADE,9479.81
HAND WARMER UNION JACK,9462.36
WOODEN CROQUET GARDEN SET,9458.98
DOORMAT WELCOME TO OUR HOME,9427.73
PLASTERS IN TIN STRONGMAN,9409.49
TRADITIONAL MODELLING CLAY,9280.41
SET/3 RED GINGHAM ROSE STORAGE BOX,9257.79
KNITTED UNION FLAG HOT WATER BOTTLE,9255.17
JUMBO BAG VINTAGE CHRISTMAS,9236.42
ANTIQUE SILVER TEA GLASS ENGRAVED,9233.55
TRADITIONAL KNITTING NANCY,9229.82
BREAD BIN DINER STYLE RED,9197.56
BLUE HARMONICA IN BOX,9173.88
PHOTO FRAME CORNICE,9156.33
SET OF 4 KNICK KNACK TINS DOILY,9125.65
REGENCY TEA PLATE ROSES,9124.69
RED RETROSPOT ROUND CAKE TINS,9088.75
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9066.75
REGENCY TEA PLATE GREEN,9038.65
EDWARDIAN PARASOL RED,9002.32
FELTCRAFT CUSHION BUTTERFLY,8974.6
FAWN BLUE HOT WATER BOTTLE,8956.45
PANTRY ROLLING PIN,8907.92
IVORY DINER WALL CLOCK,8874
REGENCY MILK JUG PINK,8769.5
STRAWBERRY LUNCH BOX WITH CUTLERY,8686.64
LADIES & GENTLEMEN METAL SIGN,8684.28
WOODEN SCHOOL COLOURING SET,8659.62
SET OF 20 KIDS COOKIE CUTTERS,8648.97
GINGERBREAD MAN COOKIE CUTTER,8608.88
PINK CREAM FELT CRAFT TRINKET BOX,8587.24
SET OF 6 SOLDIER SKITTLES,8556.25
60 TEATIME FAIRY CAKE CASES,8522.12
AREA PATROLLED METAL SIGN,8508.12
HAND WARMER RED RETROSPOT,8479.57
VINTAGE HEADS AND TAILS CARD GAME,8455.16
POTTERING IN THE SHED METAL SIGN,8364.64
"RECORD FRAME 7"" SINGLE SIZE ",8357.07
VINTAGE DOILY JUMBO BAG RED,8285.54
JUMBO BAG PAISLEY PARK,8273.28
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8251.62
FELTCRAFT DOLL MOLLY,8235.59
SET 2 PANTRY DESIGN TEA TOWELS,8232.17
SET OF 3 NOTEBOOKS IN PARCEL,8227.65
MULTI COLOUR SILVER T-LIGHT HOLDER,8172.55
FAMILY ALBUM WHITE PICTURE FRAME,8165.89
ENAMEL BREAD BIN CREAM,8150.9
T-LIGHT GLASS FLUTED ANTIQUE,8096.14
HANGING JAM JAR T-LIGHT HOLDER,8060.79
FELTCRAFT PRINCESS CHARLOTTE DOLL,8022.76
DOORMAT MULTICOLOUR STRIPE,8021.12
ICE CREAM PEN LIP GLOSS,8017.31
SET 6 PAPER TABLE LANTERN HEARTS,8007.52
BOX OF 6 MINI VINTAGE CRACKERS,7976.72
LARGE WHITE HEART OF WICKER,7967.65
